DataHora;Referencia;Nivel;Erro;Sinal_de_Controle;Corrente_na_Bomba
2022-09-02 14:05:13.282481;27;1.70;25.30;25.30;0.00
2022-09-02 14:05:13.391828;27;1.70;25.30;31.30;0.80
2022-09-02 14:05:13.501177;27;1.69;25.31;31.31;0.63
2022-09-02 14:05:13.610527;27;1.80;25.20;31.20;1.55
2022-09-02 14:05:13.719876;27;1.64;25.36;31.36;1.70
2022-09-02 14:05:13.829225;27;1.67;25.33;31.33;1.78
2022-09-02 14:05:13.938574;27;1.75;25.25;31.25;1.77
2022-09-02 14:05:14.157273;27;1.73;25.27;31.27;1.78
2022-09-02 14:05:14.297865;27;1.71;25.29;31.29;1.81
2022-09-02 14:05:14.407214;27;1.71;25.29;31.29;1.83
2022-09-02 14:05:14.516562;27;1.77;25.23;31.23;1.82
2022-09-02 14:05:14.641533;27;1.71;25.29;31.29;1.81
2022-09-02 14:05:14.766504;27;1.71;25.29;31.29;1.81
2022-09-02 14:05:14.875853;27;1.72;25.28;31.28;2.07
2022-09-02 14:05:14.985201;27;1.74;25.26;31.26;1.97
2022-09-02 14:05:15.094550;27;1.71;25.29;31.29;1.79
2022-09-02 14:05:15.219521;27;1.69;25.31;31.31;1.82
2022-09-02 14:05:15.328872;27;1.68;25.32;31.32;1.81
2022-09-02 14:05:15.438220;27;1.71;25.29;31.29;1.87
2022-09-02 14:05:15.547569;27;1.90;25.10;31.10;1.91
2022-09-02 14:05:15.766267;27;1.53;25.47;31.47;1.74
2022-09-02 14:05:15.875616;27;2.09;24.91;30.91;1.89
2022-09-02 14:05:16.000588;27;2.22;24.78;30.78;1.80
2022-09-02 14:05:16.125558;27;2.67;24.33;30.33;1.79
2022-09-02 14:05:16.250527;27;2.63;24.37;30.37;1.79
2022-09-02 14:05:16.359876;27;2.77;24.23;30.23;1.77
2022-09-02 14:05:16.469227;27;2.76;24.24;30.24;1.78
2022-09-02 14:05:16.578575;27;2.94;24.06;30.06;2.08
2022-09-02 14:05:16.703546;27;3.02;23.98;29.98;1.82
2022-09-02 14:05:16.812894;27;3.20;23.80;29.80;1.81
2022-09-02 14:05:16.937865;27;3.56;23.44;29.44;1.80
2022-09-02 14:05:17.047215;27;3.65;23.35;29.35;1.81
2022-09-02 14:05:17.172184;27;3.33;23.67;29.67;1.80
2022-09-02 14:05:17.281535;27;3.74;23.26;29.26;1.79
2022-09-02 14:05:17.390883;27;3.79;23.21;29.21;2.10
2022-09-02 14:05:17.500231;27;3.99;23.01;29.01;1.82
2022-09-02 14:05:17.609580;27;4.13;22.87;28.87;1.89
2022-09-02 14:05:17.734551;27;4.35;22.65;28.65;1.95
2022-09-02 14:05:17.843900;27;4.68;22.32;28.32;1.76
2022-09-02 14:05:17.953250;27;4.02;22.98;28.98;1.76
2022-09-02 14:05:18.062599;27;4.69;22.31;28.31;1.84
2022-09-02 14:05:18.203190;27;5.55;21.45;27.45;1.86
2022-09-02 14:05:18.312539;27;4.68;22.32;28.32;1.88
2022-09-02 14:05:18.421888;27;5.15;21.85;27.85;2.06
2022-09-02 14:05:18.531238;27;5.03;21.97;27.97;1.83
2022-09-02 14:05:18.640586;27;5.59;21.41;27.41;1.87
2022-09-02 14:05:18.765558;27;5.82;21.18;27.18;1.81
2022-09-02 14:05:18.874907;27;6.17;20.83;26.83;1.90
2022-09-02 14:05:18.984257;27;5.68;21.32;27.32;1.81
2022-09-02 14:05:19.109227;27;5.93;21.07;27.07;1.96
2022-09-02 14:05:19.218575;27;6.60;20.40;26.40;1.71
2022-09-02 14:05:19.327925;27;6.71;20.29;26.29;1.86
2022-09-02 14:05:19.437274;27;6.44;20.56;26.56;1.79
2022-09-02 14:05:19.546623;27;6.98;20.02;26.02;1.85
2022-09-02 14:05:19.671593;27;6.79;20.21;26.21;1.75
2022-09-02 14:05:19.780942;27;7.29;19.71;25.71;2.06
2022-09-02 14:05:19.890292;27;6.86;20.14;26.14;1.74
2022-09-02 14:05:20.015262;27;7.12;19.88;25.88;2.04
2022-09-02 14:05:20.124611;27;6.88;20.12;26.12;1.76
2022-09-02 14:05:20.249581;27;7.28;19.72;25.72;1.82
2022-09-02 14:05:20.358930;27;7.70;19.30;25.30;1.81
2022-09-02 14:05:20.483902;27;7.92;19.08;25.08;1.85
2022-09-02 14:05:20.593250;27;7.82;19.18;25.18;1.82
2022-09-02 14:05:20.718220;27;8.40;18.60;24.60;1.80
2022-09-02 14:05:20.827570;27;8.45;18.55;24.55;1.81
2022-09-02 14:05:20.936920;27;8.53;18.47;24.47;1.80
2022-09-02 14:05:21.046269;27;8.64;18.36;24.36;1.68
2022-09-02 14:05:21.155618;27;8.69;18.31;24.31;1.77
2022-09-02 14:05:21.264966;27;8.74;18.26;24.26;1.76
2022-09-02 14:05:21.374316;27;8.77;18.23;24.23;1.86
2022-09-02 14:05:21.483666;27;8.86;18.14;24.14;1.78
2022-09-02 14:05:21.593014;27;9.14;17.86;23.86;2.00
2022-09-02 14:05:21.717984;27;9.27;17.73;23.73;1.82
2022-09-02 14:05:21.827333;27;9.37;17.63;23.63;1.80
2022-09-02 14:05:21.936683;27;9.53;17.47;23.47;1.81
2022-09-02 14:05:22.046032;27;10.01;16.99;22.99;1.80
2022-09-02 14:05:22.155382;27;9.62;17.38;23.38;1.94
2022-09-02 14:05:22.280350;27;9.88;17.12;23.12;1.80
2022-09-02 14:05:22.389702;27;10.18;16.82;22.82;1.76
2022-09-02 14:05:22.499050;27;10.32;16.68;22.68;1.82
2022-09-02 14:05:22.624019;27;10.31;16.69;22.69;1.80
2022-09-02 14:05:22.733371;27;10.27;16.73;22.73;1.79
2022-09-02 14:05:22.842718;27;10.09;16.91;22.91;1.82
2022-09-02 14:05:22.952069;27;10.75;16.25;22.25;2.09
2022-09-02 14:05:23.077039;27;10.81;16.19;22.19;1.73
2022-09-02 14:05:23.202008;27;11.22;15.78;21.78;1.83
2022-09-02 14:05:23.311358;27;11.42;15.58;21.58;1.74
2022-09-02 14:05:23.420707;27;11.67;15.33;21.33;1.87
2022-09-02 14:05:23.530056;27;11.19;15.81;21.81;1.78
